player,team,pos,rank,value,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov
Darius Acuff,SAC,PG/SG,164,24.7,59.9,31.0,0.4702,7.71,0.7821,1.97,1.15,9.94,5.63,2.31,1.06,0.63,1.18
Tim Hardaway,MIA,SF/SG,199,20.521,71.4,26.7,0.4264,9.66,0.8201,2.23,2.5,12.56,2.63,1.5,0.52,0.13,0.64
Aaron Gordon,DEN,C/PF,100,30.37,52.9,30.5,0.511,11.08,0.7622,4.18,1.52,16.03,5.87,3.19,0.63,0.37,1.37
Fred VanVleet,HOU,PG,79,32.899,43.9,33.8,0.3939,12.36,0.8234,2.44,2.54,14.28,3.75,5.67,1.39,0.52,1.5
Mitchell Robinson,BOS,C,171,23.895,60,21.0,0.6588,4.12,0.4697,1.81,0.12,6.4,8.45,1.04,0.99,1.15,0.78
Duncan Robinson,DET,SF/SG,202,20.308,69.8,25.4,0.4461,8.8,0.7836,1.2,2.57,11.36,2.52,2.16,0.57,0.2,0.91
Kris Dunn,LAC,PG/SG,208,19.839,71.4,24.5,0.4612,5.68,0.753,0.79,0.93,6.77,3.19,3.21,1.48,0.25,1.21
De'Andre Hunter,SAC,PF/SF,169,24.206,58.2,26.1,0.4427,11.04,0.8526,3.33,1.91,14.52,3.99,1.77,0.72,0.19,1.46
Jaylen Wells,MEM,SF/SG,200,20.507,68.4,25.0,0.4414,9.09,0.8002,2.14,1.76,11.5,3.26,1.67,0.75,0.14,0.96
Max Christie,DAL,SF/SG,211,19.661,71.0,25.6,0.4486,7.9,0.8781,1.71,1.83,10.41,3.11,1.82,0.63,0.35,1.07
Yves Missi,NOP,C,196,20.938,66.4,20.9,0.5499,5.16,0.6157,1.89,0.08,6.92,6.28,1.33,0.39,1.35,0.87
Jake LaRavia,LAL,SF/SG,210,19.821,69.8,23.2,0.4667,6.12,0.755,1.87,0.98,8.11,3.93,1.95,1.13,0.43,1.1
Collin Gillespie,PHX,PG/SG,185,22.032,62.7,21.7,0.4248,7.95,0.8574,0.93,2.11,9.66,3.21,3.48,0.94,0.18,1.15
Kevin Huerter,DET,SF/SG,197,20.818,66.3,22.3,0.4443,8.35,0.7626,0.94,1.55,9.69,3.25,2.4,0.87,0.41,0.98
Moses Moody,GSW,PF/SF/SG,193,21.289,64.7,23.4,0.4493,8.34,0.7859,1.83,2.05,10.98,3.12,1.52,0.87,0.5,0.85
Klay Thompson,DAL,PF/SF/SG,201,20.439,67.1,22.9,0.3996,10.74,0.8358,0.92,2.71,12.06,2.52,1.61,0.54,0.34,1.04
Isaiah Stewart,MEM,C/PF,190,21.467,63.7,21.7,0.5466,6.11,0.7726,1.81,0.62,8.69,5.14,1.43,0.35,1.37,1.06
Nique Clifford,SAC,SF/SG,212,19.656,69.5,24.5,0.4306,7.83,0.7367,1.36,1.05,8.79,3.79,2.39,0.9,0.33,1.47
Scoot Henderson,POR,PG,156,25.16,54.1,25.0,0.4288,10.49,0.8112,3.07,1.63,13.12,2.97,4.34,0.92,0.26,2.41
Zaccharie Risacher,DAL,SF,203,20.252,67.1,21.9,0.471,8.33,0.6961,1.54,1.44,10.36,3.67,1.22,0.79,0.5,0.93
Rui Hachimura,LAC,PF/SF,194,21.131,64.2,28.2,0.5127,8.95,0.7343,1.41,1.63,11.84,3.83,1.1,0.63,0.35,0.71
Zach Edey,MEM,C,120,28.061,48.3,23.2,0.583,7.56,0.7457,2.24,0.39,10.88,8.69,1.28,0.63,1.36,1.57
Harrison Barnes,SAS,C/PF,221,18.715,71.5,25.1,0.4693,7.54,0.8121,1.84,1.7,10.27,2.98,1.7,0.57,0.16,0.73
Lonnie Walker,DEN,PF/SF/SG,198,20.702,63.2,21.5,0.4352,9.35,0.7852,1.5,1.84,11.15,3.12,2.1,0.59,0.35,1.13
Tristan da Silva,ORL,PF/SF,219,18.756,69.9,23.3,0.4473,7.44,0.873,1.16,1.38,9.06,3.57,1.63,0.74,0.31,0.85
Luguentz Dort,ATL,SF/SG,213,19.526,66.9,26.1,0.4134,7.56,0.7695,0.94,1.9,8.87,3.59,1.38,0.92,0.44,0.77
Egor Dëmin,BKN,PG/SG,180,22.499,58.0,24.3,0.4229,8.36,0.8304,1.37,2.26,10.47,3.32,3.26,0.81,0.36,1.52
Ajay Mitchell,OKC,PG/SG,179,22.875,56.3,22.5,0.4928,8.63,0.8632,2.3,0.96,11.45,3.0,3.02,1.05,0.28,1.2
Noah Clowney,BKN,C/PF,195,21.041,61.0,23.8,0.4072,8.35,0.8127,2.71,1.77,10.78,3.92,1.44,0.66,0.59,1.26
Al Horford,GSW,C/PF,182,22.361,57.4,23.5,0.4244,7.17,0.8402,0.67,1.6,8.25,5.12,2.29,0.61,0.92,0.88
Sam Hauser,BOS,PF/SF,222,18.346,69.6,23.2,0.4329,7.28,0.8477,0.33,2.37,8.96,3.58,1.31,0.52,0.27,0.45
Derrick Jones,LAC,PF/SF,204,20.158,62.3,24.9,0.5039,7.41,0.7396,1.72,1.06,9.8,3.41,1.18,0.9,0.71,0.85
Ziaire Williams,LAL,SF/SG,206,20.113,61.4,22.8,0.4278,7.77,0.8396,2.2,1.51,10.0,3.25,1.28,1.14,0.38,1.06
Will Riley,WAS,PF/SF/SG,225,17.86,69.0,20.1,0.4573,7.56,0.8087,2.23,1.0,9.73,2.79,1.9,0.69,0.15,1.12
Tre Johnson,WAS,PG/SG,209,19.824,62.0,21.9,0.4391,9.6,0.8604,1.46,1.74,11.43,2.81,1.97,0.55,0.3,1.35
Herbert Jones,NOP,SF/SG,176,23.172,52.9,28.3,0.4142,8.3,0.8205,1.43,1.37,9.42,3.51,2.75,1.49,0.52,1.32
Miles McBride,NYK,PG/SG,192,21.319,57.0,24.7,0.4252,8.87,0.8047,1.12,2.15,10.59,2.5,2.61,0.91,0.24,0.73
Sam Merrill,CLE,SF/SG,237,17.131,61.7,20.5,0.4406,6.97,0.8618,0.88,2.19,9.08,2.21,1.82,0.58,0.15,0.61
Pelle Larsson,MIA,SF/SG,217,18.841,64.0,22.1,0.4914,6.63,0.7861,2.57,0.81,9.35,2.98,2.67,0.66,0.21,1.11
Luke Kennard,PHX,PG/SF/SG,226,17.83,67.6,21.8,0.5047,6.12,0.8893,0.95,1.58,8.6,2.55,2.54,0.7,0.11,0.91
Jaylon Tyson,CLE,PF/SF/SG,230,17.603,61.2,18.0,0.495,6.68,0.7558,1.13,1.29,8.76,3.52,1.59,0.56,0.28,0.99
Bez Mbeng,UTA,PG/SG,227,17.733,66.1,20.7,0.499,5.08,0.7046,1.31,0.49,6.48,2.8,2.58,1.28,0.27,0.97
Khris Middleton,WAS,PF/SF,207,19.883,58.7,21.2,0.4363,8.18,0.8574,1.97,1.06,9.89,3.42,2.92,0.67,0.17,1.57
Patrick Williams,CHI,PF,228,17.621,66.2,22.2,0.3975,7.23,0.7375,1.22,1.39,8.03,3.35,1.68,0.73,0.44,1.14
Marcus Smart,HOU,PG/SF/SG,205,20.137,57.3,24.8,0.3993,7.37,0.8018,1.97,1.42,8.89,2.56,2.83,1.23,0.33,1.46
Nolan Traore,BKN,PG,214,19.137,60.0,21.4,0.4057,8.16,0.7971,1.71,1.1,9.09,2.03,3.63,0.8,0.41,2.04
Julian Reese,DEN,C,250,7.223,60.1,7.0,0.5195,2.23,0.6845,0.75,0.12,2.94,2.1,0.53,0.3,0.14,0.5
Jalen Smith,CHI,C/PF,218,18.776,60.6,15.8,0.4914,6.07,0.761,1.41,1.14,8.18,5.16,1.05,0.34,0.61,0.72
Aday Mara,OKC,C,215,19.008,59.7,19.0,0.4702,7.03,0.7821,1.79,1.05,9.06,3.46,2.1,0.65,0.38,1.07
D'Angelo Russell,MEM,PG/SG,183,22.123,51.3,21.3,0.4137,9.31,0.7882,2.11,1.59,10.96,2.47,4.1,0.67,0.27,1.63
Collin Murray-Boyles,TOR,C/PF,220,18.717,60.5,18.1,0.5762,5.18,0.686,1.6,0.34,7.41,4.14,1.64,0.76,0.74,0.85
Jamal Shead,TOR,PG/SG,243,15.764,71.6,17.8,0.394,5.28,0.7863,1.09,0.85,5.86,1.53,4.08,0.73,0.15,1.15
De'Anthony Melton,GSW,PG/SG,174,23.377,48.1,22.1,0.4112,9.82,0.8142,2.24,1.46,11.35,3.22,2.48,1.38,0.39,1.62
Sandro Mamukelashvili,LAL,C/PF,240,16.355,68.2,14.9,0.5162,5.48,0.75,1.33,1.01,7.67,3.48,1.29,0.52,0.35,0.59
AJ Green,MIL,SF/SG,242,15.885,70.0,23.6,0.4302,6.48,0.8394,0.67,2.33,8.46,2.4,1.62,0.46,0.11,0.74
Kentavious Caldwell-Pope,PHI,PG/SG,232,17.555,62.6,23.8,0.4258,6.8,0.8813,1.37,1.19,8.18,2.28,2.15,0.97,0.3,0.98
