player,team,pos,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov,rank,adp,ht_total
LeBron James,PHI,SF/PF,60,32.1,0.513,15.0,0.760,4.4,1.5,20.3,6.2,7.4,1.0,0.5,3.0,41,13.9,4.14
Derrick White,BOS,PG/SG,75,33.8,0.416,13.6,0.871,2.4,3.1,16.5,4.5,5.1,1.1,1.2,1.7,42,53.6,4.11
Tyler Herro,MIL,PG/SG,64,31.8,0.475,16.2,0.887,3.7,2.9,21.5,4.8,4.8,0.8,0.3,2.2,43,78.5,4.05
Jalen Brunson,NY,PG,72,34.2,0.476,18.9,0.831,6.1,2.5,25.5,3.1,6.9,0.8,0.1,2.4,44,20.6,4.04
Nickeil Alexander-Walker,ATL,PG/SG,76,33.0,0.456,14.2,0.881,4.1,3.0,19.6,3.8,3.6,1.1,0.5,1.9,45,110.8,3.98
Franz Wagner,ORL,SF/PF,64,32.5,0.468,18.0,0.852,5.5,1.6,23.2,5.6,4.3,1.2,0.4,2.1,46,52.2,3.93
LaMelo Ball,MIN,PG,65,30.2,0.431,16.4,0.867,3.2,2.9,19.8,4.5,7.1,1.3,0.2,2.9,47,31.3,3.88
Onyeka Okongwu,ATL,C,74,31.1,0.519,11.1,0.757,3.0,1.4,15.2,8.8,2.9,1.1,1.1,1.6,48,92.6,3.78
Joel Embiid,PHI,C,52,29.4,0.471,15.9,0.857,7.0,1.1,22.2,7.5,3.0,0.5,1.0,2.9,49,49.8,3.66
Alperen Sengün,HOU,C,72,33.3,0.508,15.9,0.691,5.6,0.4,20.5,10.0,5.7,1.2,1.0,3.0,50,31.6,3.60
Kel'el Ware,MIL,C,74,27.9,0.540,10.0,0.714,1.5,1.1,13.0,10.5,1.1,0.9,1.4,1.1,51,126.7,3.55
Bam Adebayo,MIA,PF/C,74,33.4,0.463,15.1,0.773,5.0,1.4,19.3,9.9,3.8,1.2,0.7,1.9,52,30.1,3.46
Paul George,BOS,SF/PF,58,31.2,0.434,14.2,0.820,2.7,2.6,17.1,5.4,4.1,1.8,0.5,2.2,53,95.8,3.46
Brandon Miller,CHA,SG/SF,69,31.4,0.425,16.8,0.885,3.3,3.4,20.6,4.9,3.5,1.0,0.7,2.6,54,100.9,3.45
Jalen Suggs,ORL,PG/SG,60,28.4,0.424,12.6,0.866,2.5,2.2,15.1,4.0,4.9,1.7,0.8,2.8,55,131.9,3.44
Matas Buzelis,CHI,SF/PF,75,31.3,0.460,13.5,0.795,3.1,2.4,17.2,6.4,2.1,0.8,1.7,2.1,56,121.1,3.42
Kon Knueppel,CHA,SG/SF,74,32.3,0.475,13.9,0.862,2.9,3.5,19.2,5.5,3.5,0.7,0.2,2.1,57,85.1,3.19
OG Anunoby,NY,SF/PF,68,33.2,0.479,12.5,0.819,3.0,2.2,16.7,4.8,2.1,1.5,0.8,1.5,58,69.7,3.16
Kristaps Porzingis,GS,PF/C,51,26.0,0.468,12.8,0.823,4.7,2.1,17.9,6.0,2.2,0.7,1.3,1.3,59,100.1,3.15
Damian Lillard,POR,PG,55,28.2,0.438,13.2,0.882,5.0,3.1,19.1,3.5,5.0,0.9,0.1,2.1,60,83.2,3.14
Brandon Ingram,LAC,SF/PF,72,34.1,0.474,17.5,0.826,4.4,1.9,22.1,5.7,4.1,0.8,0.7,2.8,61,85.4,3.11
Jimmy Butler III,GS,SG/SF,25,27.5,0.510,10.1,0.851,6.4,0.6,16.4,4.8,4.6,1.3,0.3,1.3,62,83.5,3.06
Donovan Clingan,POR,C,74,27.2,0.527,8.2,0.674,2.4,1.1,11.4,11.4,1.9,0.6,1.8,1.3,63,103.6,3.02
Zion Williamson,NO,PF/C,60,30.4,0.587,15.0,0.696,8.0,0.1,23.2,6.5,4.1,1.1,0.7,2.5,64,44.3,2.96
